Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,701,131722,80099,32765,4863,13029,4762,38594,265120,13778,85400
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker,701,131722,80099,32765,4863,13029,4762,38594,265120,13778,85400
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\Categories,1,17,4,1,0,5,0,8,24,7,17
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\FoodIntakeTracker,26,2633,742,576,0,344,0,1547,6023,183,345
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\FoodIntakeTrackerTests,11,324,77,21,0,62,0,185,510,77,159
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\FoodIntakeTracker\common,2,115,21,10,0,17,0,77,310,15,31
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\FoodIntakeTracker\controller,22,2358,684,543,0,295,0,1379,5414,154,286
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\Helpers,3,189,35,14,0,31,0,123,555,21,46
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\ISSFoodIntakeTrackerTests,12,341,82,22,0,67,0,192,525,84,174
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\Models,9,545,188,106,0,164,0,193,1174,63,126
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\Services,18,943,147,68,0,137,0,659,3806,126,256
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library,621,126730,78824,31957,4863,12219,4762,35687,252503,13217,84277
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\BNPieChart,10,545,187,129,3,121,3,237,1028,192,661
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\OpenEars,164,51838,35593,4829,15,2932,1378,13313,91809,6778,44515
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\OpenEars\OpenEars.framework,163,51822,35589,4828,15,2927,1378,13306,91795,6771,44501
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\OpenEars\OpenEars.framework\Headers,163,51822,35589,4828,15,2927,1378,13306,91795,6771,44501
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\OpenEars\Slt.framework,1,16,4,1,0,5,0,7,14,7,14
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\OpenEars\Slt.framework\Headers,1,16,4,1,0,5,0,7,14,7,14
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Reachability,1,103,46,27,0,20,2,37,262,26,194
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Samba,4,5179,934,446,0,431,13,3814,21903,86,549
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract,144,28353,16057,10029,1185,3397,2412,8899,70887,2781,19189
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include,143,28324,16042,10017,1185,3391,2412,8891,70864,2773,19166
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\leptonica,27,6026,3702,2953,2,497,657,1827,15949,639,5483
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract,116,22298,12340,7064,1183,2894,1755,7064,54915,2134,13683
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\cCSVParse,1,33,21,14,0,3,0,9,32,9,32
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing,297,40679,25986,16483,3660,5315,954,9378,66582,3345,19137
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp,234,38532,25323,16121,3660,4933,953,8276,61054,2274,13759
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli,7,11905,8229,5321,1368,1529,614,2147,20948,96,616
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\cli\src,7,11905,8229,5321,1368,1529,614,2147,20948,96,616
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core,227,26627,17094,10800,2292,3404,339,6129,40106,2178,13143
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src,204,24949,16111,10150,2238,3151,328,5687,37550,1952,11810
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\bigint,5,1352,823,568,171,104,11,425,3311,0,0
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\win32,2,262,166,42,0,41,27,55,468,30,227
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\win32\zxing,2,262,166,42,0,41,27,55,468,30,227
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\zxing\cpp\core\src\zxing,197,23335,15122,9540,2067,3006,290,5207,33771,1922,11583
