File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\OpenEars\OpenEars.framework\Headers\byteorder.h,SWAP_FLOAT64(x),3,3,1,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\OpenEars\OpenEars.framework\Headers\err.h,"E_DEBUG(level,x)",5,5,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\OpenEars\OpenEars.framework\Headers\err.h,"E_DEBUGCONT(level,x)",4,4,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\OpenEars\OpenEars.framework\Headers\tied_mgau_common.h,"fast_logmath_add(logmath_t *lmath, int mlx, int mly)",15,12,10,2,2,0,1,6,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\blobbox.h,DirOtherWay(BlobNeighbourDir dir),2,2,2,1,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\blobbox.h,"DominatesInMerge(BlobTextFlowType type1, BlobTextFlowType type2)",6,4,4,3,0,0,2,17,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\clst.h,CLIST_ITERATOR::set_to_list( ,17,16,11,2,1,1,0,3,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\clst.h,CLIST_ITERATOR::CLIST_ITERATOR(CLIST *list_to_iterate),2,2,2,0,0,0,0,0,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\clst.h,CLIST_ITERATOR::add_after_then_move( ,39,35,22,8,4,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\clst.h,CLIST_ITERATOR::add_after_stay_put( ,42,38,25,8,4,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\clst.h,CLIST_ITERATOR::add_before_then_move( ,36,33,21,7,3,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\clst.h,CLIST_ITERATOR::add_before_stay_put( ,37,34,22,7,3,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\clst.h,CLIST_ITERATOR::add_list_after(CLIST *list_to_add),39,38,25,8,1,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\clst.h,CLIST_ITERATOR::add_list_before(CLIST *list_to_add),36,35,22,8,1,2,0,4,
C:\Users\rashi_000\Desktop\ISS FIT\Assembly - Frontend Assembly\FF1\FoodIntakeTracker\library\Tesseract\include\tesseract\clst.h,CLIST_ITERATOR::extract(),33,27,19,6,3,3,3,32,
